id,pdfs
WIPRO,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1d67449a-6242-45f2-84a5-70475a295099.pdf']
UPL,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/b9184a05-86ad-4075-b6c6-7fe5a592916d.pdf']
ULTRACEMCO,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/86accf40-1599-4ba0-b862-200552ba7aa9.pdf']
TITAN,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/cf53d432-9035-4e77-9a07-d57bc5ed0454.pdf']
TECHM,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/506d51f4-5ec6-4195-83ec-14ff37fa150c.pdf']
TATASTEEL,[]
TATAMOTORS,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/3a82121b-4528-440d-ad7f-22728f47a946.pdf']
TATACONSUM,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/09b343e9-8463-49de-8115-cca42098d8f2.pdf']
TCS,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/e617aaed-ae26-4fc8-8a6e-d79f40adc7f0.pdf']
SUNPHARMA,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/788eb9c4-2be4-4e46-a1bc-045cc355fed6.pdf']
SBIN,[]
SBILIFE,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ee74586-96d1-41e9-946b-e0a82ea87aa7.pdf']
RELIANCE,[]
POWERGRID,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1bdbe665-975d-4e5a-9a39-689b5a6fff36.pdf']
ONGC,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/5f921c57-1e3c-44f4-82e1-2c541378fc3d.pdf']
NTPC,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/77f1db12-a824-418f-b055-ac38bef62a09.pdf']
NESTLEIND,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/51f589ba-8cc4-4dc1-8483-5790d410f3c1.pdf']
MARUTI,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1717b22f-d5e9-4020-84ea-1eda48867299.pdf']
M&M,[]
LTIM,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/05c977ac-349f-4d9f-bc92-699d657d12ec.pdf']
LT,[]
KOTAKBANK,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/9910e852-a385-49fd-b5af-5672e2aa053a.pdf']
JSWSTEEL,[]
ITC,[]
INFY,[]
INDUSINDBK,[]
ICICIBANK,[]
HINDUNILVR,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f59b46e-c8fe-4871-b761-98278441c937.pdf']
HINDALCO,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/8176fc01-e8f0-4108-b1f8-c720904d6cc4.pdf']
HEROMOTOCO,[]
HDFCLIFE,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/99cc881f-92f2-407f-a54b-f9ac79bcacc6.pdf']
HDFCBANK,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/d420b35c-488c-4ea9-84ca-6183de7e29f4.pdf']
HCLTECH,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/bc34d91a-ac99-4f6d-877e-b2a9d7e2ced9.pdf']
GRASIM,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/09ecbd55-6e44-4686-8b2f-495553ade633.pdf']
EICHERMOT,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/b18b8106-7a2c-42b7-ac56-72bfc33385ca.pdf']
DRREDDY,[]
DIVISLAB,"['https://www.bseindia.com/xml-data/corpfiling/AttachHis/993e7524-b3b5-4889-83a9-97caea251c8f.pdf', 'https://www.bseindia.com/xml-data/corpfiling/AttachHis/9fe0d780-7af6-4d51-941f-67ce89200f2e.pdf']"
COALINDIA,[]
CIPLA,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/b6dc9897-3c64-4c9e-bdd2-2c4734877009.pdf']
BRITANNIA,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/41a7f40f-ab87-4253-8dbf-229267cd7116.pdf']
BHARTIARTL,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/0eeab431-23fd-430c-b708-37ed32014395.pdf']
BPCL,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/c76cf7ac-9270-42cd-9511-6e14313fea19.pdf']
BAJAJFINSV,[]
BAJFINANCE,[]
BAJAJ-AUTO,[]
AXISBANK,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/ef63d671-64f7-4bef-ad9e-515dfdbc916a.pdf']
ASIANPAINT,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1065d24c-707c-4f1a-b20b-b3fc7a34c21c.pdf']
APOLLOHOSP,[]
ADANIPORTS,['https://www.bseindia.com/xml-data/corpfiling/AttachHis/1f8dae69-14f6-4b74-998a-c8cc665648a9.pdf']
ADANIENT,[]
